Semester,Dept, CourseCode, CourseTitle, Credits, L, T, P
4,BCE, ENCE 255, Building Technology,2,2,2,0
4,BCE, ENCE 256, Survey Camp,2,0,0,0
5,BCE, ENCE 301, Design of Timber and Masonry Structures,3,3,1,0
5,BCE, ENCE 302, Foundation Engineering,3,3,2,1
5,BCE, ENCE 303, Design of Steel Structures,3,3,1,0
5,BCE, ENCE 304, Transportation Engineering I,3,3,2,1
5,BCE, ENCE 305, Sanitary Engineering,3,3,2,1
5,BCE, ENCE 306, Engineering Hydrology,3,3,2,1
5,BCE, ENCE 307, Engineering Economics,3,3,1,0
6,BCE, ENCE 351, Estimating and Costing,3,3,1,0
6,BCE, ENCE 352, Design of RCC Structures,4,4,2,2
6,BCE, ENCE 353, Transportation Engineering II,3,3,2,1
6,BCE, ENCE 354, Irrigation and Drainage Engineering,4,4,2,0
6,BCE, ENCE 355, Professional and Social Engineering,3,3,1,0
6,BCE, ENCE 365-389, Elective I,3,3,2,1
7,BCE, ENCE 401, Operations Research,2,2,1,1
7,BCE, ENCE 402, Project and Construction Engineering,4,4,2,0
7,BCE, ENCE 403, Hydropower Engineering,4,4,2,1
7,BCE, ENCE 411-434, Elective II,3,3,2,1
7,BCE, ENCE 435-449, Elective III,3,3,2,1
7,BCE, ENCE 404, Project I,2,0,0,0
8,BCE, CE 461, Project II,4,0,0,0
8,BCE, CE 462, Internship,6,0,0,0
1,BCT, ENSH 101, Engineering Mathematics I,3,3,2,0
1,BCT, ENCT 101, Computer Programming,3,3,1,3
1,BCT, ENME 101, Engineering Drawing,2,2,0,4
1,BCT, ENEX 101, Fundamental of Electrical and Electronics Engineering,3,3,1,3
1,BCT, ENSH 102, Engineering Physics,4,4,1,2
1,BCT, ENME 106, Engineering Workshop,1,1,0,3
2,BCT, ENSH 151, Engineering Mathematics II,3,3,2,0
2,BCT, ENCT 151, Object Oriented Programming,3,3,1,3
2,BCT, ENEX 152, Digital Logic,3,3,1,3
2,BCT, ENEX 151, Electronic Device and Circuits,3,3,1,3
2,BCT, ENSH 153, Engineering Chemistry,3,3,1,3
2,BCT, ENEE 154, Electrical Circuits and Machines,4,4,1,1.5
3,BCT, ENSH 201, Engineering Mathematics III,3,3,2,0
3,BCT, ENSH 204, Communication English,3,3,0,1
3,BCT, ENCT 201, Computer Graphics and Visualization,3,3,1,3
3,BCT, ENCT 202, Foundation of Data Science,3,3,1,3
3,BCT, ENCT 203, Theory of Computation,3,3,1,0
3,BCT, ENEX 201, Microprocessors,3,3,1,3
4,BCT, ENSH 252, Numerical Methods,3,3,1,3
4,BCT, ENEX 252, Instrumentation,4,4,1,1.5
4,BCT, ENEX 254, Electromagnetics,3,3,1,1.5
4,BCT, ENCT 252, Data Structure and Algorithm,3,3,1,3
4,BCT, ENCT 253, Data Communication,3,3,1,1.5
4,BCT, ENCT 254, Operating System,3,3,1,1.5
5,BCT, ENSH 304, Probability and Statistics,3,3,1,0
5,BCT, ENCT 301, Database Management System,3,3,1,3
5,BCT, ENCT 302, Web Application Programming,3,3,1,3
5,BCT, ENCT 303, Computer Organization and Architecture,3,3,1,1.5
5,BCT, ENCT 304, Computer Networks,3,3,1,3
5,BCT, ENCT 325-344, Elective I,3,3,2,1
6,BCT, ENCE 356, Engineering Economics,3,3,1,0
6,BCT, ENCT 351, Artificial Intelligence,3,3,1,3
6,BCT, ENCT 352, Software Engineering,3,3,1,1.5
6,BCT, ENCT 353, Simulation and Modeling,3,3,1,1.5
6,BCT, ENCT 354, Minor Project,1,0,0,0
6,BCT, ENCT 385-399, Elective II,3,3,2,1
7,BCT, ENEX 416, Digital Signal Analysis and Processing,4,4,1,1.5
7,BCT, ENCT 411, Distributed and Cloud Computing,3,3,1,1.5
7,BCT, ENCT 412, ICT Project Management,3,3,1,0
7,BCT, ENEX 417, Energy Environment and Social Engineering,3,3,0,0
7,BCT, ENCT 435-444, Elective III,3,3,2,1
7,BCT, ENCT 413, Project I,2,0,0,0
8,BCT, ENCT 463, Network and Cyber Security,3,3,1,1.5
8,BCT, ENCT 465-474, Elective IV,3,3,2,1
8,BCT, ENCT 462, Internship,4,0,0,0
8,BCT, ENCT 461, Project II,4,0,0,0
1,BEI, ENSH 101, Engineering Mathematics I,3,3,2,0
1,BEI, ENSH 102, Engineering Physics,4,4,1,2
1,BEI, ENCT 101, Computer Programming,3,3,1,3
1,BEI, ENME 101, Engineering Drawing,2,2,0,4
